nom;group;mat_polok;h;n;s;p
Холодильник Бирюса G6049;Холодильники;Закаленное стекло;207;4;2;36500
Холодильник Бирюса G920NF;Холодильники;Закаленное стекло;175;3;2;33810
Холодильник Бирюса SBS 541 TBG;Холодильники;Закаленное стекло;179;4;2;62360
Холодильник Бирюса SBS 587 BG;Холодильники;Закаленное стекло;179;4;2;59900
Холодильник Бирюса W6035;Холодильники;Закаленное стекло;165;4;2;28370
Холодильник Бирюса W6036;Холодильники;Закаленное стекло;145;3;2;26600
Холодильник Бирюса М6036;Холодильники;Закаленное стекло;145;3;2;24890
Холодильник Бирюса Н6027;Холодильники;Закаленное стекло;190;4;2;33090
Холодильник Бирюса Т980NF;Холодильники;Закаленное стекло;207;4;2;39590
Холодильник Samsung BRB30602FWW;Холодильники;Закаленное стекло;194;5;3;100300
Холодильник Beko RDSK240M00G;Холодильники;Закаленное стекло;146;4;3;25260
Холодильник Don R-291Z (Золотой песок);Холодильники;Закаленное стекло;181;4;3;32040
Холодильник Don R-296BE (Бежевый мрамор);Холодильники;Закаленное стекло;191;3;3;34610
Холодильник Don R-296S (Слоновая кость);Холодильники;Закаленное стекло;191;3;3;33650
Холодильник Indesit ES 15 GA;Холодильники;Закаленное стекло;150;3;3;25880
Холодильник Samsung RB-37A50N0SA;Холодильники;Закаленное стекло;201;4;3;53170
Холодильник Samsung RB-37A5491EL;Холодильники;Закаленное стекло;201;3;3;58750
Холодильник Tesler RC-55 WOOD;Холодильники;Закаленное стекло;49;2;3;9920
Холодильник Бирюса 6035;Холодильники;Закаленное стекло;165;4;3;27020
Холодильник Бирюса CD 466 BG;Холодильники;Закаленное стекло;178;3;3;59520
Холодильник Бирюса SBS 541 TGG;Холодильники;Закаленное стекло;179;4;3;60240
Холодильник Бирюса W6034;Холодильники;Закаленное стекло;165;3;3;28460
Холодильник Бирюса М6031;Холодильники;Закаленное стекло;192;3;3;34040
Холодильник Бирюса М6035;Холодильники;Закаленное стекло;165;4;3;28370
Холодильник Бирюса Н6049;Холодильники;Закаленное стекло;207;4;3;36500
Холодильник Бирюса Н980NF;Холодильники;Закаленное стекло;207;4;3;39590
Холодильник Бирюса Т6027;Холодильники;Закаленное стекло;190;4;3;33090
Холодильник Atlant 4013-022;Холодильники;Закаленное стекло;176;4;4;25510
Холодильник Don R-290BE (Бежевый мрамор);Холодильники;Закаленное стекло;171;3;4;30780
Холодильник Don R-297BUK (Бук);Холодильники;Закаленное стекло;201;4;4;36830
Холодильник Hotpoint HT 7201I DX O3;Холодильники;Закаленное стекло;196;5;4;40180
Холодильник Indesit DS 4160S;Холодильники;Закаленное стекло;167;3;4;25420
Холодильник Бирюса CD 466 GG;Холодильники;Закаленное стекло;178;3;4;62200
Холодильник Бирюса G980NF;Холодильники;Закаленное стекло;207;4;4;39590
Холодильник Бирюса SBS 400 I;Холодильники;Закаленное стекло;171;5;4;47080
Холодильник Бирюса М109;Холодильники;Закаленное стекло;87;3;4;16560
Холодильник Бирюса М124;Холодильники;Закаленное стекло;158;4;4;24520
Холодильник Бирюса Т960NF;Холодильники;Закаленное стекло;190;4;4;37150
Холодильник Beko B3R0CNK332HG;Холодильники;Закаленное стекло;201;4;5;36190
Холодильник Don R-290K (Снежная королева);Холодильники;Закаленное стекло;171;3;5;29940
Холодильник Don R-290NG (Нерж. сталь);Холодильники;Закаленное стекло;171;3;5;30780
Холодильник Don R-295BE (Бежевый мрамор);Холодильники;Закаленное стекло;196;5;5;34480
Холодильник Don R-299BE (Бежевый мрамор);Холодильники;Закаленное стекло;216;5;5;36380
Холодильник Manya RT179NBE;Холодильники;Закаленное стекло;186;4;5;51000
Холодильник Бирюса 6039;Холодильники;Закаленное стекло;180;4;5;29000
Холодильник Бирюса W6031;Холодильники;Закаленное стекло;192;3;5;34040
Холодильник Бирюса М6032;Холодильники;Закаленное стекло;180;4;5;31240
Холодильник Midea MDRE423FGE01;Холодильники;Закаленное стекло;179;6;6;40000
Холодильник Atlant 4012-080;Холодильники;Закаленное стекло;176;4;6;30080
Холодильник Atlant 4210-000;Холодильники;Закаленное стекло;162;3;6;26190
Холодильник Atlant 4621-101;Холодильники;Закаленное стекло;187;4;6;30600
Холодильник Atlant 4712-100;Холодильники;Закаленное стекло;173;4;6;27210
Холодильник Beko B3R0CNK312HG;Холодильники;Закаленное стекло;184;4;6;33800
Холодильник Don R-290S (Слоновая кость);Холодильники;Закаленное стекло;171;3;6;29940
Холодильник Don R-291BI (Белая искра);Холодильники;Закаленное стекло;181;4;6;32040
Холодильник Don R-291S (Слоновая кость);Холодильники;Закаленное стекло;181;4;6;32040
Холодильник Don R-295DUB (Дуб);Холодильники;Закаленное стекло;196;5;6;35770
Холодильник Don R-296Bl (Белая искра);Холодильники;Закаленное стекло;191;3;6;33650
Холодильник Don R-296NG (Нерж. сталь);Холодильники;Закаленное стекло;191;3;6;33730
Холодильник Hisense RB434N4BW2;Холодильники;Закаленное стекло;200;4;6;43960
Холодильник Hotpoint HT 4180 M;Холодильники;Закаленное стекло;185;4;6;31440
Холодильник Hotpoint HT 5180 W;Холодильники;Закаленное стекло;185;4;6;31710
Холодильник Hotpoint HT 5200 MX;Холодильники;Закаленное стекло;196;4;6;37140
Холодильник Indesit ITS 5180G;Холодильники;Закаленное стекло;185;4;6;33030
Холодильник Бирюса B940NF;Холодильники;Закаленное стекло;192;3;6;39690
Холодильник Бирюса C960NF;Холодильники;Закаленное стекло;190;4;6;37850
Холодильник Бирюса G960NF;Холодильники;Закаленное стекло;190;4;6;36510
Холодильник Бирюса I980NF;Холодильники;Закаленное стекло;207;4;6;41460
Холодильник Бирюса М6027;Холодильники;Закаленное стекло;190;4;6;32530
Холодильник Atlant 4624-101;Холодильники;Закаленное стекло;197;4;7;34920
Холодильник Don R-295Z (Золотой песок);Холодильники;Закаленное стекло;196;5;7;33540
Холодильник Hisense RB434N4BC2;Холодильники;Закаленное стекло;200;4;7;46020
Холодильник Maunfeld MFF83GD;Холодильники;Закаленное стекло;83;2;7;13400
Холодильник Midea MDRD86SLF01;Холодильники;Закаленное стекло;50;1;7;10380
Холодильник Samsung RB-37A5291B1;Холодильники;Закаленное стекло;201;3;7;61090
Холодильник Atlant 6026-031;Холодильники;Закаленное стекло;205;4;8;41400
Холодильник Don R-226G (Графит);Холодильники;Закаленное стекло;154;4;8;26690
Холодильник Don R-226MI (Металлик);Холодильники;Закаленное стекло;154;4;8;26690
Холодильник Don R-295BI (Белая искра);Холодильники;Закаленное стекло;196;5;8;33540
Холодильник Don R-299K (Снежная королева);Холодильники;Закаленное стекло;216;5;8;35360
Холодильник Бирюса C920NF;Холодильники;Закаленное стекло;175;3;8;34440
Холодильник Бирюса I960NF;Холодильники;Закаленное стекло;190;4;8;38910
Холодильник Бирюса W940NF;Холодильники;Закаленное стекло;192;3;8;37880
Холодильник Бирюса М10;Холодильники;Закаленное стекло;122;3;8;20590
Холодильник Atlant 4208-000;Холодильники;Закаленное стекло;143;3;9;23580
Холодильник Don R-236G (Графит);Холодильники;Закаленное стекло;175;5;9;28530
Холодильник Don R-290BI (Белая искра);Холодильники;Закаленное стекло;171;3;9;29940
Холодильник Don R-297ZF (Золотой цветок);Холодильники;Закаленное стекло;201;4;9;35530
Холодильник Бирюса B980NF;Холодильники;Закаленное стекло;207;4;9;41460
Холодильник Бирюса W6027;Холодильники;Закаленное стекло;190;4;9;32530
Холодильник Бирюса М6034;Холодильники;Закаленное стекло;165;3;9;28460
Холодильник Бирюса М8;Холодильники;Закаленное стекло;85;2;9;18020
Холодильник Саратов 550 (КШ-122 без НТО);Холодильники;Закаленное стекло;87;3;9;15610
Холодильник Beko BCNA275E2S;Холодильники;Закаленное стекло;178;3;10;57570
Холодильник Atlant 4214-000;Холодильники;Закаленное стекло;181;4;10;29990
Холодильник Beko B3RCNK362HS;Холодильники;Закаленное стекло;186;3;10;35340
Холодильник Beko B3RCNK362HW;Холодильники;Закаленное стекло;186;3;10;34430
Холодильник Don R-216MI (Металлик);Холодильники;Закаленное стекло;142;4;10;25410
Холодильник Don R-291K (Снежная королева);Холодильники;Закаленное стекло;181;4;10;32040
Холодильник Don R-291NG (Нерж. сталь);Холодильники;Закаленное стекло;181;4;10;32970
Холодильник Don R-295S (Слоновая кость);Холодильники;Закаленное стекло;196;5;10;33540
Холодильник Don R-297BE (Бежевый мрамор);Холодильники;Закаленное стекло;201;4;10;35530
Холодильник Don R-297S (Слоновая кость);Холодильники;Закаленное стекло;201;4;10;34530
Холодильник Don R-299BI (Белая искра);Холодильники;Закаленное стекло;216;5;10;35360
Холодильник Don R-299NG (Нерж. сталь);Холодильники;Закаленное стекло;216;5;10;35460
Холодильник Don R-407 G;Холодильники;Металл/стекло;85;3;10;17180
Холодильник Hotpoint HFTS 640 X;Холодильники;Закаленное стекло;179;5;10;81840
Холодильник Hotpoint HT 4200 W;Холодильники;Закаленное стекло;196;4;10;32400
Холодильник Indesit ITR 5180W;Холодильники;Закаленное стекло;185;4;10;30930
Холодильник Бирюса I940NF;Холодильники;Закаленное стекло;192;3;10;36960
Холодильник Бирюса W960NF;Холодильники;Закаленное стекло;190;4;10;37150
Холодильник Бирюса М6049;Холодильники;Закаленное стекло;207;4;10;36500
Холодильник Бирюса М940NF;Холодильники;Закаленное стекло;192;3;10;37880
Холодильник Саратов 284 (КШД 195/65);Холодильники;Закаленное стекло;149;3;10;22840
Холодильник Саратов 451 (КШ-160);Холодильники;Пластик;116;3;10;17050
Холодильник Manya BR191NZ7;Холодильники;Закаленное стекло;194;5;11;93930
Холодильник Midea MDRE423FGE01 + Морозильник Midea MDRE306FZF01;Холодильники;Закаленное стекло;179;6;11;109960
Холодильник Atlant 1601-100;Холодильники;Закаленное стекло;177;6;11;31240
Холодильник Beko B3RCNK362HX;Холодильники;Закаленное стекло;186;3;11;36250
Холодильник Don R-236MI (Металлик);Холодильники;Закаленное стекло;175;5;11;28530
Холодильник Don R-291BE (Бежевый мрамор);Холодильники;Закаленное стекло;181;4;11;32970
Холодильник Don R-296K (Снежная королева);Холодильники;Закаленное стекло;191;3;11;33650
Холодильник Gorenje RB491PW;Холодильники;Закаленное стекло;85;2;11;16970
Холодильник Midea MDRB424FGF01I;Холодильники;Закаленное стекло;188;4;11;33750
Холодильник Бирюса W6049;Холодильники;Закаленное стекло;207;4;11;36500
Холодильник Samsung BRB26600FWW;Холодильники;Закаленное стекло;178;4;12;78330
Холодильник Atlant 4721-101;Холодильники;Закаленное стекло;183;3;12;27700
Холодильник Beko B1RCSK332G;Холодильники;Закаленное стекло;201;4;12;29900
Холодильник Hisense RB390N4AW1;Холодильники;Закаленное стекло;186;4;12;32520
Холодильник Manya RT179NW;Холодильники;Закаленное стекло;186;4;12;55450
Холодильник Бирюса 940NF;Холодильники;Закаленное стекло;192;3;12;35470
Холодильник Бирюса W920NF;Холодильники;Закаленное стекло;175;3;12;33810
Холодильник Бирюса М118;Холодильники;Закаленное стекло;145;3;12;24880
Холодильник Бирюса М120;Холодильники;Закаленное стекло;165;3;12;27110
Холодильник Бирюса М151;Холодильники;Закаленное стекло;145;3;12;25960
Холодильник Бирюса М6;Холодильники;Закаленное стекло;145;4;12;22300
Холодильник Бирюса М6033;Холодильники;Закаленное стекло;175;3;12;30240
Холодильник Gorenje NRKI2181E1;Холодильники;Закаленное стекло;177;5;13;48250
Холодильник Atlant 4011-022;Холодильники;Закаленное стекло;167;4;13;26780
Холодильник Atlant 4209-000;Холодильники;Закаленное стекло;162;4;13;28130
Холодильник Atlant 4623-101;Холодильники;Закаленное стекло;197;4;13;33060
Холодильник Don R-407 MI;Холодильники;Металл/стекло;85;3;13;17180
Холодильник Indesit TIA 16 S;Холодильники;Закаленное стекло;167;4;13;23090
Холодильник Бирюса B960NF;Холодильники;Закаленное стекло;190;4;13;38910
Холодильник Бирюса I920NF;Холодильники;Закаленное стекло;175;3;13;35400
Холодильник Бирюса М108;Холодильники;Закаленное стекло;87;2;13;17290
Холодильник Hotpoint HT 4200 M;Холодильники;Закаленное стекло;196;4;14;32990
Холодильник Manya RT179NM;Холодильники;Закаленное стекло;186;4;14;58750
Холодильник Samsung RB-37A5000WW;Холодильники;Закаленное стекло;201;3;14;52950
Холодильник Бирюса W980NF;Холодильники;Закаленное стекло;207;4;14;39590
Холодильник Don R-431 MI;Холодильники;Закаленное стекло;111;3;15;18800
Холодильник Бирюса 920NF;Холодильники;Закаленное стекло;175;3;15;32200
Холодильник Бирюса М960NF;Холодильники;Закаленное стекло;190;4;15;37150
Холодильник Beko B1RCNK312G;Холодильники;Закаленное стекло;184;4;16;35140
Холодильник Beko B1RCSK312G;Холодильники;Закаленное стекло;184;4;16;28770
Холодильник Don R-291ZF (Золотой цветок);Холодильники;Закаленное стекло;181;4;16;32970
Холодильник Don R-295K (Снежная королева);Холодильники;Закаленное стекло;196;5;16;33540
Холодильник Don R-295NG (Нерж. сталь);Холодильники;Закаленное стекло;196;5;16;34480
Холодильник Don R-297BI (Белая искра);Холодильники;Закаленное стекло;201;4;16;34530
Холодильник Don R-405 MI;Холодильники;Металл/стекло;85;2;16;17410
Холодильник Midea MDRB424FGF02I;Холодильники;Закаленное стекло;188;4;16;29620
Холодильник Samsung BRB30703EWW;Холодильники;Закаленное стекло;194;4;17;102560
Холодильник Don R-295ZF (Золотой цветок);Холодильники;Закаленное стекло;196;5;17;34480
Холодильник Midea MDRS791MIE02;Холодильники;Закаленное стекло;178;4;17;82800
Холодильник Бирюса C940NF;Холодильники;Закаленное стекло;192;3;17;38610
Холодильник Atlant 1602-150;Холодильники;Закаленное стекло;187;6;18;36150
Холодильник Beko B3R0CNK362HW;Холодильники;Закаленное стекло;186;4;18;35340
Холодильник Midea MDRS791MIE46;Холодильники;Закаленное стекло;178;4;18;87970
Холодильник Бирюса SBS 587 I;Холодильники;Закаленное стекло;179;4;18;55020
Холодильник Бирюса М920NF;Холодильники;Закаленное стекло;175;3;18;33230
Холодильник Don R-216G (Графит);Холодильники;Закаленное стекло;142;4;19;25410
Холодильник Indesit ITS 4180NG;Холодильники;Закаленное стекло;185;4;19;34080
Холодильник Manya SBS184NBE;Холодильники;Закаленное стекло;182;4;19;65250
Холодильник Бирюса 6143;Холодильники;Закаленное стекло;180;6;19;28770
Холодильник Бирюса C980NF;Холодильники;Закаленное стекло;207;4;19;40330
Холодильник Don R-296G (Графит);Холодильники;Закаленное стекло;191;3;20;33650
Холодильник Don R-297K (Снежная королева);Холодильники;Закаленное стекло;201;4;20;34530
Холодильник Don R-405 G;Холодильники;Металл/стекло;85;2;20;17410
Холодильник Бирюса М110;Холодильники;Закаленное стекло;123;3;20;19690
Холодильник Don R-436 B;Холодильники;Закаленное стекло;131;4;21;20150
Холодильник Indesit ITR 4180S;Холодильники;Закаленное стекло;185;4;21;30740
Холодильник Midea MDRM691MIE46;Холодильники;Закаленное стекло;190;4;21;82930
Холодильник Бирюса 153;Холодильники;Закаленное стекло;145;3;21;24720
Холодильник Саратов 550;Холодильники;Закаленное стекло;90;3;21;15450
Холодильник Don R-431 B;Холодильники;Закаленное стекло;111;3;22;17900
Холодильник Indesit ITS 4160G;Холодильники;Закаленное стекло;167;3;22;31700
Холодильник Midea MDRB521MGE22ODM;Холодильники;Закаленное стекло;202;3;22;52880
Холодильник Midea MDRE414FGE01;Холодильники;Закаленное стекло;194;4;23;80120
Холодильник Beko B3R0CNK332HW;Холодильники;Закаленное стекло;201;4;24;35210
Холодильник Don R-296MI (Металлик);Холодильники;Закаленное стекло;191;3;24;33650
Холодильник Бирюса 960NF;Холодильники;Закаленное стекло;190;4;24;34770
Холодильник Midea MDRE353FGF01;Холодильники;Закаленное стекло;179;4;26;58720
Холодильник Don R-291G (Графит);Холодильники;Закаленное стекло;180;4;26;32040
Холодильник Don R-297NG (Нерж. сталь);Холодильники;Закаленное стекло;201;4;26;35530
Холодильник Hotpoint HT 7201I M O3;Холодильники;Закаленное стекло;196;5;26;36240
Холодильник Indesit DS 4160G;Холодильники;Закаленное стекло;167;3;26;28230
Холодильник Maunfeld MFF50WD;Холодильники;Закаленное стекло;50;1;26;9740
Холодильник Бирюса М980NF;Холодильники;Закаленное стекло;207;4;26;39590
Холодильник Beko B3RCNK402HSB;Холодильники;Закаленное стекло;201;4;27;37560
Холодильник Don R-290G (Графит);Холодильники;Закаленное стекло;171;3;27;29940
Холодильник Gorenje NRK6202EW4;Холодильники;Закаленное стекло;200;5;27;45780
Холодильник Indesit ITR 5200S;Холодильники;Закаленное стекло;196;4;27;34980
Холодильник Бирюса 6042;Холодильники;Закаленное стекло;145;5;27;23860
Холодильник Beko BCHA2752S;Холодильники;Закаленное стекло;178;4;28;51120
Холодильник Atlant 1602-140;Холодильники;Закаленное стекло;187;6;28;36990
Холодильник Beko B3R0CNK312HW;Холодильники;Закаленное стекло;184;4;28;33330
Холодильник Don R-290MI (Металлик);Холодильники;Закаленное стекло;171;3;28;29940
Холодильник Manya SBS196MNBE;Холодильники;Закаленное стекло;193;3;28;85930
Холодильник Бирюса 6031;Холодильники;Закаленное стекло;192;3;28;31310
Холодильник Бирюса 840NF;Холодильники;Закаленное стекло;192;3;28;31230
Холодильник Atlant 4010-022;Холодильники;Закаленное стекло;161;3;29;26330
Холодильник Midea MDRS791MIE33;Холодильники;Закаленное стекло;178;4;29;84670
Холодильник Бирюса 980NF;Холодильники;Закаленное стекло;207;4;29;37700
Холодильник Comfee RCD115WH1R;Холодильники;Закаленное стекло;85;2;30;13790
Холодильник Don R-299G (Графит);Холодильники;Закаленное стекло;216;5;30;34460
Холодильник Gorenje NRK6202EXL4;Холодильники;Закаленное стекло;200;5;30;45780
Холодильник Don R-291MI (Металлик);Холодильники;Закаленное стекло;181;4;31;31230
Холодильник Бирюса 6027;Холодильники;Закаленное стекло;190;4;31;29110
Холодильник Atlant 5810-62;Холодильники;Закаленное стекло;150;5;32;25300
Холодильник Beko RCSK270M20S;Холодильники;Закаленное стекло;171;3;32;26730
Холодильник Atlant 4009-022;Холодильники;Закаленное стекло;157;4;33;26410
Холодильник Indesit DS 4180E;Холодильники;Закаленное стекло;185;3;33;30180
Холодильник LG GA-B509MAWL;Холодильники;Закаленное стекло;203;5;33;61950
Холодильник Manya SBS196MNGB;Холодильники;Закаленное стекло;193;3;33;93360
Холодильник Midea MDRS791MIE28;Холодильники;Закаленное стекло;178;4;33;72020
Холодильник Бирюса 6032;Холодильники;Закаленное стекло;180;4;33;29750
Холодильник Hotpoint HBT 400I;Холодильники;Закаленное стекло;194;3;34;87730
Холодильник Atlant 4026-000;Холодильники;Закаленное стекло;205;4;34;32760
Холодильник Beko CSKW335M20W;Холодильники;Закаленное стекло;201;4;34;27230
Холодильник Don R-407 B;Холодильники;Металл/стекло;85;3;34;16360
Холодильник Manya SBS196MNGS;Холодильники;Закаленное стекло;193;3;34;93360
Холодильник LG GC-B401FAPM+Морозильник LG GC-B404FAQM;Холодильники;Закаленное стекло;186;5;35;170480
Холодильник Indesit ITR 4160E;Холодильники;Закаленное стекло;167;3;36;33100
Холодильник LG GA-B509CQTL;Холодильники;Закаленное стекло;203;4;36;63450
Холодильник LG GC-Q22FTAKL;Холодильники;Закаленное стекло;179;3;37;145370
Холодильник Бирюса 6033;Холодильники;Закаленное стекло;175;3;37;26850
Холодильник Бирюса 6049;Холодильники;Закаленное стекло;207;4;37;32370
Холодильник Саратов 452 (КШ-120);Холодильники;Закаленное стекло;87;3;37;16300
Холодильник Atlant 4008-022;Холодильники;Закаленное стекло;142;3;38;26030
Холодильник Hotpoint HT 7201I AB O3;Холодильники;Закаленное стекло;196;5;38;44220
Холодильник Indesit TT85 тик;Холодильники;Металл;85;2;38;18800
Холодильник LG GC-Q257CBFC;Холодильники;Закаленное стекло;179;4;38;135440
Холодильник LG GC-Q257CBFV;Холодильники;Закаленное стекло;179;4;38;139650
Холодильник Indesit ES 15 A;Холодильники;Закаленное стекло;150;3;39;25000
Холодильник Indesit ITS 4200NG;Холодильники;Закаленное стекло;196;4;39;35190
Холодильник Hotpoint HT 4200 S;Холодильники;Закаленное стекло;196;4;40;36480
Холодильник LG GA-B509CMUM;Холодильники;Закаленное стекло;203;4;40;62650
Холодильник LG GC-B459SQUM;Холодильники;Закаленное стекло;186;3;40;49650
Холодильник Саратов 263 (КШД 200/30);Холодильники;Закаленное стекло;148;4;40;20680
Холодильник Atlant 4021-000;Холодильники;Закаленное стекло;186;4;41;28840
Холодильник Midea MDRB470MGF46O;Холодильники;Закаленное стекло;185;3;41;43860
Холодильник Don R-299MI (Металлик);Холодильники;Закаленное стекло;216;5;43;34460
Холодильник LG GC-B459SMUM;Холодильники;Закаленное стекло;186;3;43;51650
Холодильник Бирюса 124;Холодильники;Закаленное стекло;158;4;43;23350
Холодильник Indesit DS 4200E;Холодильники;Закаленное стекло;200;4;44;32130
Холодильник LG GC-B509MLWM;Холодильники;Закаленное стекло;203;4;44;59140
Холодильник Manya SBS196MNGW;Холодильники;Закаленное стекло;193;3;44;93360
Холодильник Бирюса 860NF;Холодильники;Закаленное стекло;190;4;44;30620
Холодильник Бирюса М50;Холодильники;Металл;49;1;44;9060
Холодильник Manya BR191NZ5;Холодильники;Закаленное стекло;194;5;45;66240
Холодильник Atlant 2835-90;Холодильники;Закаленное стекло;163;4;45;26370
Холодильник Atlant 6021-031;Холодильники;Закаленное стекло;186;4;45;33790
Холодильник Beko B5RCNK363ZWB;Холодильники;Закаленное стекло;186;3;45;42410
Холодильник Indesit DS 4160E;Холодильники;Закаленное стекло;167;3;45;27810
Холодильник Beko B1RCNK332W;Холодильники;Закаленное стекло;201;4;47;34010
Холодильник Don R-295G (Графит);Холодильники;Закаленное стекло;196;5;47;33540
Холодильник Maunfeld MFF83WD;Холодильники;Закаленное стекло;83;2;47;13460
Холодильник Бирюса 6034;Холодильники;Закаленное стекло;165;3;47;26650
Холодильник LG GA-B509CQWL;Холодильники;Закаленное стекло;203;5;48;53650
Холодильник Hotpoint HT 7201I MX O3;Холодильники;Закаленное стекло;196;5;49;37120
Холодильник Indesit TT85;Холодильники;Металл;85;2;49;17280
Холодильник Бирюса 107;Холодильники;Закаленное стекло;145;4;49;19940
Холодильник Beko DSMV5280MA0S;Холодильники;Закаленное стекло;160;4;50;25520
Холодильник Comfee RCD76WH1R;Холодильники;Закаленное стекло;49;1;50;8510
Холодильник Don R-536 B;Холодильники;Закаленное стекло;131;5;50;20620
Холодильник Don R-295MI (Металлик);Холодильники;Закаленное стекло;196;5;51;33540
Холодильник Don R-236B (Белый);Холодильники;Закаленное стекло;175;5;53;27140
Холодильник Indesit ITD 167W;Холодильники;Металл;167;4;53;22210
Холодильник Manya SBS184NGB;Холодильники;Закаленное стекло;182;4;54;72200
Холодильник Atlant 4025-000;Холодильники;Закаленное стекло;205;4;56;32820
Холодильник Бирюса 820NF;Холодильники;Закаленное стекло;175;3;56;27860
Холодильник Atlant 4012-022;Холодильники;Закаленное стекло;176;4;58;28660
Холодильник Atlant 4023-000;Холодильники;Закаленное стекло;195;4;58;29410
Холодильник Atlant 4024-000;Холодильники;Закаленное стекло;195;4;60;29710
Холодильник Midea MDRB470MGF33O;Холодильники;Закаленное стекло;185;3;60;42160
Холодильник Бирюса 111;Холодильники;Закаленное стекло;123;4;60;18080
Холодильник Atlant 6025-031;Холодильники;Закаленное стекло;205;4;61;38090
Холодильник Manya BR-M194NZ;Холодильники;Закаленное стекло;194;5;62;69540
Холодильник Atlant 6024-031;Холодильники;Закаленное стекло;195;4;62;35020
Холодильник Manya SBS191MNGWZ1;Холодильники;Закаленное стекло;189;4;62;66490
Холодильник Samsung RB-33A32N0EL;Холодильники;Закаленное стекло;185;4;62;49800
Холодильник Бирюса 10;Холодильники;Закаленное стекло;122;3;62;19620
Холодильник Don R-297G (Графит);Холодильники;Закаленное стекло;201;4;63;34530
Холодильник Indesit ES 15;Холодильники;Закаленное стекло;150;3;63;21370
Холодильник Бирюса 120;Холодильники;Закаленное стекло;165;3;63;25810
Холодильник Don R-297MI (Металлик);Холодильники;Закаленное стекло;201;4;64;33660
Холодильник LG GC-B257SSZV;Холодильники;Закаленное стекло;179;4;64;112950
Холодильник Manya RB205NBE;Холодильники;Закаленное стекло;200;4;64;48360
